id	session_ID	title	speaker	authors	affiliations	time
OP11	2	Genomic Diversity Of Carbapenemase-Producing !!Klebsiella pneumoniae!!! In Germany	Laura Becker	Laura Becker_1; Matthias Steglich_1; Yvonne Pfeifer_1; Martin Kaase_2; Stephan Fuchs_1; Ulrich Nübel_3; Guido Werner_1	Robert Koch Institute, FG13 Nosocomial Pathogens and Antibiotic Resistance; National Reference Laboratory for multidrug-resistant gram-negative bacteria, Department for Medical Microbiology, Ruhr-University Bochum; Leibniz Institute DSMZ	09:30-09:45
SC02	2	Genomics Of Campylobacter Adaptation To The Host And Man-Made Environments	Samuel K Sheppard	Samuel K Sheppard_1_2_3	Department of Zoology, University of Oxford, Oxford, UK; · College of Medicine, Institute of Life Science, Swansea University, Swansea, UK; MRC CLIMB Consortium, Institute of Life Science, Swansea University, Swansea, UK	09:45-10:00
SC03	3	Modern Interventional Microbiology For Infection And Resistance Control	Alexander W. Friederich	Alexander W. Friederich_1_2	Department of Medical Microbiology, University of Groningen, University Medical Center Groningen, Groningen, Netherlands	10:30-10:45
OP12	3	Utility Of The Salmonella In Sillico Typing Resource (SISTR) To Outbreak Investigations	James Robertson	James Robertson_1; Catherine Yoshida_1; Peter Kruczkiewicz_1; Eduardo N. Taboada_1; John H.E. Nash_1	Public Health Agency of Canada	10:45-11:00
OP13	3	Analyzing Vancomycin-Resistant !!Enterococcus faecium!!! Outbreaks By Core Genome Multi Locus Sequence Typing	Xuewei Zhou	Xuewei Zhou_1; Jan P. Arends_1; Sigrid Rosema_1; Erik Bathoorn_1; Alexander W. Friedrich_1; John W.A. Rossen_1	University Medical Center Groningen	11:00-11:15
OP14	3	Phylogenomic Characterization Of The Causative Strain Of One Of The Largest Worldwide Outbreaks Of Legionnaires’ Disease Occurred In Portugal In 2014	Vítor Borges	Vítor Borges_1; Alexandra Nunes_1; Daniel A Sampaio_1; Luís Vieira_1; João P. Gomes_1	National Institute of Health Dr. Ricardo Jorge	11:15-11.30
SC04	3	WGS-Based Approaches For Cluster Investigation Of Legionnaires’ Disease: Current Experience And Future Direction	Jacob Moran-Gilad	Jacob Moran-Gilad_1-4	Chair, National Programme for Legionellosis Prevention, Public Health Services, Ministry of Health, Jerusalem, Israel; Professor of Clinical Microbiology, Faculty of Health Sciences, Ben-Gurion University of the Negev, Beer-Sheva, Israel; ESCMID Study Group for Legionella Infections (ESGLI); ESCMID Study Group for Molecular Diagnostics (ESGMD)	11:30-11:45
SC05	3	Whole Genome-Based Population Biology And Global Epidemiological Surveillance Of Listeria Monocytogenes	Sylvain Brisse	Sylvain Brisse_1	Institut Pasteur, Genotyping of Pathogens and Public Health, Paris,France	11:45-12:00
OP15	4	Comparative Phenotypic and Genomic Analysis of Food Borne Isolates Involved In Multistate Outbreaks Of Atypical !!Salmonella enterica!!! Serovars	Daniel Hurley	Daniel Hurley_1; Maria Hoffmann_2; Marta Martin_1; Eric W. Brown_2; Séamus Fanning_1	UCD Centre for Food Safety, University College Dublin; Center for Food Safety and Nutrition, Division of Microbiology, Office of Regulatory Science, U.S. Food and Drug Administration	15:30-15:45
OP16	4	A Single Clonal Lineage Of Group B !!Streptococcus!!! Is Causing Bovine Mastitis In The North Of Portugal	Alexandre Almeida	Alexandre Almeida_1; Cinthia Alves-Barroco_2; Elisabeth Sauvage_3; Ricardo Bexiga_4; Pedro Albuquerque_5; Fernando Tavares_5; Ilda Santos-Sanches_2; Philippe Glaser_3	Institut Pasteur, Unité Evolution et Ecologie de la Résistance aux Antibiotiques; CNRS UMR 3525; Université Pierre et Marie Curie; UCIBIO, Departamento de Ciências da Vida, Faculdade de Ciências e Tecnologia, Universidade Nova de Lisboa; Institut Pasteur, Unité Evolution et Ecologie de la Résistance aux Antibiotiques; CNRS UMR 3525; Centro de Investigação Interdisciplinar em Sanidade Animal, Faculdade de Medicina Veterinária, Universidade de Lisboa; Faculdade de Ciências, Departamento de Biologia, Universidade do Porto; Centro de Investigação em Biodiversidade e Recursos Genéticos	15:45-16:00
OP17	4	Genomic Epidemiology And Cross-Border Transmission Of !!Salmonella choleraesuis!!! Var. !!kunzendorf!!! In European Pigs And Wild Boar	Pimlapas Leekitcharoenphon	Pimlapas Leekitcharoenphon_1; Frank M. Aarestrup_1; Rene S. Hendriksen_1	Technical University of Denmark	16:00-16:15
OP18	4	Whole Genome Sequencing Of The Leprosy Agent !!Mycobacterium lepromatosis!!! In Infected Red Squirrels From Scotland	Charlotte Avanz	Charlotte Avanzi_1; Andrej Benjak_1; Philippe Busso_1; Chloé Loiseau_1; Karen Stevenson_2; Joyce McLucky_2; Jorge Del Pozo_3; Lucio Vera Cabrera_4; Anna Meredith_3; Stewart T. Cole_1	Ecole Polytechnique Fédérale de Lausanne; Moredun Research Institute; The University of Edinburgh; Servicio de Dermatología, Hospital Universitario	16:15-16:30
OP19	4	Tracing Human !!Campylobacter jejuni!!! Isolates To Chicken Slaughter Batches And Swimming Water Using Whole-Genome Multilocus Sequence Typing	Ann-Katrin Llarena	Sara Kovanen_1; Rauni Kivistö_1; Ann-Katrin Llarena_1; Ji Zhang_1; Ulla-Maija Kärkkäinen_2; Tamara Tuuminen_3; Jaakko Uksila_4; Marjaana Hakkinen_5; Mirko Rossi_1; Marja-Liisa Hänninen_1	University of Helsinki; Eastern Finland Laboratory Centre Joint Authority Enterprise (ISLAB), Kuopio District Laboratory; Eastern Finland Laboratory Centre Joint Authority Enterprise (ISLAB), Mikkeli District Laboratory; Keslab Laboratory, Department of Clinical Microbiology, Central Finland Health Care District,; Finnish Food Safety Authority	16:30-16:45
OP20	4	Spread Of Fluoroquinolone Resistant Ctx-M-15-Producing !!Escherichia coli!!! St410 In Humans And Animals	Linda Falgenhauer	Linda Falgenhauer_1; Can Imirzalioglu_1; Hiren Ghosh_1; Konrad Gwozdzinski_1; Judith Schmiedel_1; Katrin Gentil_1; Trinad Chakraborty_1	Institute of Medical Microbiology, University Hospital Giessen and German Center for Infection Research (DZIF), partner site Giessen-Marburg-Langen	16:45-17:00
OP21	5	Molecular Divergence Of Vancomycin-Resistant !!Enterococcus faecium!!! Isolated In Belgium And Denmark Dissected By Whole Genome Mapping	Jasmine Coppens	Jasmine Coppens_1; Basil Britto Xavier_1; Katherine Loens_1; Christine Lammens_1; Lotte Jakobsen_2; Anette M. Hammerum_2; Herman Goossens_1; Surbhi Malhotra-Kumar_1	Department of Medical Microbiology, Vaccine & Infectious Disease Institute, Universiteit Antwerpen; Department of Microbiological Surveillance and Research, Statens Serum Institut	17:30-17:45
OP22	5	Mitigating The Effects Of Sequence Data Quality On Strain Typeability: Towards The Development Of Robust Core Genome MLST (cgMLST) Schemes	Eduardo N. Taboada	Dillon O.R. Barker_1; Peter Kruczkiewicz_2; James E. Thomas_1; Chad Laing_2; Victor P. J. Gannon_2; Eduardo N. Taboada_2	Department of Biological Sciences, University of Lethbridge; National Microbiology Laboratory at Lethbridge, Public Health Agency of Canada	17:45-18:00
OP23	5	Development Of A Rapid Diagnostic Test For The Identification Of Pathogenic !!Campylobacter jejuni!!! Isolates	Eduardo N. Taboada	Cody Buchanan_1; Peter Kruczkiewicz_2; Steven K. Mutschall_2; Benjamin Hetman_3; James E. Thomas_3; Victor P. J. Gannon_2; G. Douglas Inglis_4; Eduardo N. Taboada_2	Animal Diseases Research Institute, Canadian Food inspection Agency; National Microbiology Laboratory at Lethbridge, Public Health Agency of Canada; Department of Biological Sciences, University of Lethbridge; Lethbridge Research Centre, Agriculture and Agri-Food Canada	18:00-18:15
OP24	5	Proteotyping Of Streptococcus Pneumoniae, Using Tandem Mass Spectrometry For Identification Of Biomarkers For Species And Strain Differentiation	Hedvig Engström Jakobsson	Hedvig Engström Jakobsson_1; Lucia Gonzales Siles_1; Roger Karlsson_2; Fredrik Boulund_3; Francisco Salvà-Serra_1; Erik Kristiansson_3; Edward R.B. Moore_1	Department of Infectious diseases, Gothenburg University; Department of Infectious diseases, Gothenburg University and Nanoxis Nanoxis Consulting AB; Department of Mathematical Statistics, Chalmers University of Technology	18:15-18:30
OP25	5	The Evaluation Of Whole Genome Sequencing For The Epidemiological Typing Of !!Legionella pneumophila!!!	Sophia David	Sophia David_1; Martin Aslett_1; Rediat Tewolde_2; Simon Harris_1; Massimo Mentasti_2; Baharak Afshar_2; Anthony Underwood_2; Julian Parkhill_1; Timothy Harrison_2	Wellcome Trust Sanger Institute; Public Health England	18:30-18:45
OP26	5	Tracking A !!Mycobacterium tuberculosis!!! MDR Strain In Equatorial Guinea Based On Aso-PCR Targeting Specific SNPs Obtained From WGS Data	Darío García de Viedma	Laura Pérez-Lago_1; Griselda Tudó_2; Iñaki Comas_3; María Carcelén_1; Marta Herranz_1; Santiago Izco_1; Maria Jesus Ruiz Serrano_1; Juliá Gonzalez_2; Juan Eyene_4; Emilio Bouza_1; Darío García de Viedma_1	Instituto de Investigación Sanitaria Gregorio Marañón; Servei de Microbiologia-CDB. Hospital Clínic de Barcelona-ISGlobal. Universitat de Barcelona; FISABIO; MINISTERIO DE SANIDAD Y BIENESTAR SOCIAL de Guinea Ecuatorial. Programa Nacional de Tuberculosis (PNLT-L)	18:45-19:00
OP33	6	Pan-Genome Approaches To Identify Candidate Genetic Markers In Clinical Staphylococcus Species	Guillaume Méric	Guillaume Méric_1; Leonardos Mageiros_1; Samuel K. Sheppard_1	Swansea University Medical School	08:30-08:45
OP34	6	Biomarker Discovery For Phenotypic Groups In !!Escherichia coli!!! Using Superphy	Vic Gannon	Chad Laing_1; Akiff Manji_2; Vic Gannon_1	Public Health Agency of Canada; The University of British Columbia	08:45-09:00
OP35	6	Clostridium Difficile - Heterogeneity Of Pathogenicity Locus and Characterisation Of Atypical Paloc-Replacing Sequences In Non-Toxigenic Strains	Sandra Janezic	Sandra Janezic_1; Kate Dingle_2; Derrick W. Crook_2; Maja Rupnik_1	National Laboratory for Health, Environment and Food and University of Maribor, Faculty of Medicine; Oxford University, John Radcliffe Hospital	09:00-09:15
OP36	6	Exploring The Key Factors For The Success Of Clonal Complex 2 (CC2), The Main !!Staphylococcus epidermidis!!! Lineage	Diana Espadinha	Diana Espadinha_1; Rita Sobral_2; Guillaume Méric_3; Samuel Sheppard_3 Hermínia de Lencastre_4; Maria Miragaia_1	Laboratory of Bacterial Evolution and Molecular Epidemiology, ITQB-UNL; Laboratory of Molecular Microbiology of Bacterial Pathogens, UCIBIO@REQUIMTE, FCT-UNL; College of Medicine, Institute of Life Science, Swansea University; Laboratory of Microbiology and Infectious Diseases, The Rockefeller University	09:15-09:30
OP37	6	Insertion Sequences Play A Key Role In The Phenotypic And Genotypic Plasticity Of The Most Frequent !!Staphylococcus haemolyticus!!! Clonal Lineage	Maria Miragaia	Ons Bouchami_1; Herminia de Lencastre_2; Maria Miragaia_1	Laboratory of Molecular Genetics, Instituto de Tecnologia Química e Biológica (ITQB) António Xavier, Oeiras, Portugal and Laboratory of Bacterial Evolution and Molecular Epidemiology; Laboratory of Molecular Genetics, Instituto de Tecnologia Química e Biológica (ITQB) António Xavier, Oeiras, Portugal and Laboratory of Microbiology and Infectious Diseases, The Rockefeller University, New York, New York, United States of America	09:30-09:45
OP38	6	Novel Lineage Of Non-European Cc80 Community-Acquired Mrsa	Marc Stegger	Sofie Edslev_1; Paal Skytt Andersen_1; Henrik Westh_2; Nobumichi Kobayashi_3; Mette Bartels_2; Peder Worming_2; Robert Skov_1; Anders Rhod Larsen_1; Marc Stegger_1	Statens Serum Institut; Hvidovre Hospital; Sapporo Medical University School of Medicine	09:45-10:00
OP39	7	Targeted Metagenomics To Track And Characterize The Antimicrobial Resistome (RESCAP1.0)	Val Fernandez Lanza	Val Fernandez Lanza_1; Irene Rodriguez_2; Ana P. Tedim_2; Maria de Toro_3; Fernando de la Cruz_3; Rafael Cantón_2; Fernando Baquero_2; Teresa M. Coque_2	Instituto Ramon y Cajal de Investigaciones Sanitarias; CIBER-ESP. Hospital Universitario Ramón y Cajal and Instituto Ramón y Cajal de Investigación Sanitaria IRYCIS, Madrid, Spain; Instituto de Biomedicina y Biotecnología de Cantabria IBBTEC UC-SODERCAN-CSIC, Santander, Spain	10:30-10:45
OP40	7	A Pilot Study Using WGS To Detect The Prevalence And Mechanism Of Azithromycin Resistance In A U.K Population Of Non Typhoidal !!Salmonella!!!	Satheesh Nair	Satheesh Nair_1; Philip Ashton_1; Gauri Godbole_1; Michel Doumith_1; Steve Connell_1; Anais Painset_1; Elizabeth de Pinna_1; Martin Day_1	Public Health England	10:45-11:00
OP41	7	Molecular Epidemiology Of Carbapenemase-Producing Gram-Negatives In A Pediatric Hospital In Angola	POIREL Laurent	POIREL Laurent_1; KIEFFER Nicolas_1; AIRES-DE-SOUSA Marta_2; NORDMANN Patrice_1	University of Fribourg; Escola Superior de Saúde da Cruz Vermelha Portuguesa	11:00-11:15
OP42	7	Investigation Of Potential Sharing Of Carbapenem Resistance Plasmids Between Members Of The Enterobacteriaceae Using MinION Technology	Sandra Reuter	Sandra Reuter_1; Kim Judge_1; Simon R Harris_2; Catherine Ludden_1; Theodore Gouiouris_1; Sharon J Peacock_1	University of Cambridge; Wellcome Trust Sanger Institute	11:15-11.30
OP43	7	Genomic Epidemiology Of Vancomycin Resistant !!Enterococcus faecium!!! And Dissemination Of The VanA Transposon (Tn1546) In Copenhagen 2012-14	Mette Pinholt	Mette Pinholt_1; Jesper Boye Nielsen_1; Heidi Gumpert_1; Michael Pedersen_2; Veronika Vorobieva_3; Peder Worning_1; Henrik Westh_1	Department of Clinical Microbiology, Hvidovre University Hospital; Department of Clinical Microbiology, Herlev University Hospital; Department of Clinical Microbiology, Copenhagen University Hospital, Rigshospitalet	11:30-11:45
SC06	7	Genomic Epidemiology Of Vancomycin-Resistant !!Enterococcus faecium!!! (VRE) During An Epidemic Rise Of Vre In Dutch Hospitals	Rob Willems	Malbert Rogers_1; Anita Schürch_1; Iris Braat_1; Ellen Brouwer_1; Janetta Top_1; Marc Bonten_1; Jukka Corander_2; Rob Willems_1	UMC Utrecht; University of Helsinki	11:45-12:00
OP27	8	Trace And Control The Regional Expansion Of Extended-Spectrum Β-Lactamase Producing ST15 !!Klebsiella pneumoniae!!!	John W. A. Rossen	John W. A. Rossen_1; Mariette Lokate_1; Ruud H. Deurenberg_1; Marga Tepper_1; Jan P. Arends_1; Erwin G. C. Raangs_1; Jerome Lo-Ten-Foe_1; Hajo Grundmann_1; Kai Zhou_1; Alexander W. Friedrich_1	University of Groningen, University Medical Center Groningen	15:30-15:45
OP28	8	Identification Of Multiple Silent Introductions And Household Transmission Of Methicillin-Resistant !!Staphylococcus aureus!!! USA300 In The United Kingdom	Michelle S. Toleman	Michelle S. Toleman_1; Sandra Reuter_1; Francesc Coll_1; Ewan Harrison_1; Estee Torok_1; Nicholas Brown_1; Beth Blane_1; Julian Parkhill_2; Sharon Peacock_3	University of Cambridge; Sanger Insitute; London School of Hygiene and Tropical Medicine	15:45-16:00
OP29	8	Five Years Of Genomic Data From The Meningitis Research Foundation Meningococcal Genome Library (Mrf-Mgl) – Uk And Ireland 2010-2015	Charlene Rodrigues	Charlene Rodrigues_1; Carina Brehony_2; Richard Moxon_1; Martin Maiden_1	University of Oxford; University Hospital Galway	16:00-16:15
OP30	8	Expansion Of Previously Circulating Clones Underlies The Replacement Of Pneumococcal Serotypes In Adult IPD Following Introduction Of PCV7 In Portugal	Andreia Neves Horácio	Andreia Neves Horácio_1; Catarina Silva Costa_1; Jorge Diamantino Miranda_1; Joana Pimento Lopes_1; Mário Ramirez_1; José Melo Cristino_1	Instituto de Medicina Molecular, Faculdade de Medicina, Universidade de Lisboa	16:15-16:30
OP31	8	Insight Into SalmonellaEpidemiology From Whole Genome Sequencing	Philip Ashton	Philip Ashton_1; Satheesh Nair_1; Elizabeth de Pinna_1; Richard Elson_1; Philip Monk_1; John Mair Jenkins_1; Sanch Kanagarajah_1; Isidro Carrion_1; Kathie Grant_1; Tim Dallman_1	Public Health England	16:30-16:45
OP32	8	Next Generation Sequencing (NGS) Reveals Nosocomial Transmission Of Livestock-Associated Methicillin Resistant !!Staphylococcus aureus!!! In Humans	Thijs Bosch	Thijs Bosch_1; Sandra Witteveen_1; Martijn van Luit_1; Fabian Landman_1; Anja Haenen_1; Leo Schouls_1	National Institute for Public Health and the Environment	16:45-17:00
SC07	9	Whole-Genome Linkage Analysis Reveals Co-Evolutionary Mechanisms Of Antibiotic Resistance In The Pneumococcus	Jukka Corander	Jukka Corander_1	Department of Mathematics and Statistics, University of Helsinki	17:30-17:45
OP04	9	How To Compare And Cluster Every Known Genome In About An Hour	Adam M. Phillippy	Adam M. Phillippy_1; Brian D. Ondov_2; Todd J. Treangen_2; Sergey Koren_1	National Human Genome Research Institute, National Institutes of Health; National Biodefense Analysis and Countermeasures Center	17:45-18:00
OP45	9	Whole Genome Sequence Analysis Suggests That A Remarkable Spread Of Anthrax Occurred In France During The Hundred Years War With England	Gilles VERGNAUD	Gilles VERGNAUD_1; Guillaume GIRAULT_2; Simon THIERRY_2; Christine POURCEL_1; Nora MADANI_2; Yann BLOUIN_3	University Paris-Saclay; ANSES, University Paris-Est; DGA	18:00-18:15
OP46	9	MLST And CGF40 For Characterization Of !!Campylobacter jejuni!!! Isolates From The Poultry Chain Production And From Clinical Cases In France	Katell Rivoal	Katell Rivoal_1; Amandine Thépault_1; Valérie Rose_1; Ségolène Quesne_1; Francis Mégraud_2; Marianne Chemaly_1	Anses; CNR Campylobacters and Hélicobacters	18:15-18:30
OP47	9	TAXONOMER, An Integrated Ultra-Fast Tool For Metagenomic Sequence Analysis	Robert Schlaberg	Robert Schlaberg_1; Guochun Liao_2; Stephen Flygare_2; Evan Buss_2; Keith Simmon_3; Chase Miller_1; Yi Qiao_1; EJ Osborne_1; Karen Eilbeck_1; Gabor Marth_1; Mark Yandell_1	University of Utah; DbyDNA Inc.; Institute for Clinical and Experimental Pathology, ARUP Laboratories	18:30-18:45
OP48	9	Tracking Resistance Determinants Encoded Within The Chromosomes Of Pasteurellaceae Species	Stephen Douthwaite	Stephen Douthwaite_1; Benoit Desmolaize_1; Anders S. Olsen_1; Michal Beker_1; Simon Rose_1	University of Southern Denmark	18:45-19:00
OP49	10	IRIDA: A Federated Bioinformatics Platform Enabling Richer Genomic Epidemiology Analysis In Public Health	William Hsiao	Franklin Bristow_1; Josh Adam_1; João André Carriço_2; Mélanie Courtot_3; Bhavjinder Dhillon_4; Damion Dooley_5; Emma Griffiths_4; Judy Isaac-Renton_5; Alex Keddy_6; Peter Kruczkiewicz_1; Thomas Mattews_1; Aaron Petkau_1; Lynn Schriml_7; Julie Shay_4; Eduardo Taboada_1; Patrick Tang_8; Joel Thiessen_1; Geoff Winsor_4; Robert Beiko_6; Morag Graham_1; Gary Van Domselaar_1; William Hsiao_9; Fiona Brinkman_4	National Microbiology Laboratories; University of Lisbon; European Bioinformatics Institute; Simon Fraser University; University of British Columbia; Dalhousie University; University of Maryland School of Medicine; Sidra Medical and Research Center; British Columbia Public Health Laboratory	08:30-08:45
OP50	10	The NCBI MLST Proposal For Supporting Surveillance Of Bacterial Foodborne Pathogens	Richa Agarwala	Richa Agarwala_1; Joshua Cherry_1; Sergey Shiryev_1; Alejandro Schaffer_1; Arjun Prasad_1; Mike DiCuccio_1; William Klimke_1; James Ostell_1; David Lipman_1	NCBI/NIH	08:45-09:00
OP51	10	PulseNet International Vision For The Implementation Of Whole Genome Sequencing For Global Foodborne Disease Surveillance	Celine Nadon	Celine Nadon_1; PulseNet International Steering Committee_2	Public Health Agency of Canada; PulseNet International	09:00-09:15
OP52	10	Surveillance And Outbreak Investigation Of Shiga Toxin-Producing And Enteroinvasive !!Escherichiacoli!!! Using Whole Genome Sequencing- Time For A Change!	Marie Anne Chattaway	Marie Anne Chattaway_1; Neil Perry_1; Amy Gentle_1; Sophie Long_1; Philip Ashton_1; Derren Ready_1; Tim Dallman_1; Claire Jenkins_1	Public Health England	09:15-09:30
SC08	10	Implementation Of Genomics In Public Health Surveillance In The United States	Peter Gerner-Smidt	Peter Gerner-Smidt_1	Enteric Diseases Laboratory Branch, Centers for Disease Control & Prevention(CDC), Atlanta, USA.	09:30-09:45
SC09	10	ECDC Strategy And Roadmap For EU Genomic Surveillance And Epidemic Preparedness	Marc Struelens	Marc Struelens_1	European Centre for Disease Prevention and Control (ECDC), Stockholm, Sweden.	09:45-10:00
IP01	IP1	Development And Validation Of A Whole Genome MLST Schema For Salmonella Surveillance	Hannes Pouseele	Johan Goris_1; Hannes Pouseele_1; Katrien De Bruyne_1; Bruno Pot_1; Koen Janssens_1	Applied Maths NV, Belgium	14:30-15:00
IP02	IP1	Combined Genomic Antimicrobial Susceptibility Testing And Epidemiological Typing	Alex van Belkum	Alex van Belkum_1	bioMerieux, La Balme Les Grottes. France	15:00-15:30
DS02	DS2	Need for universal nomenclatures for strain/lineage identification		Dag Harmsen; Hajo Grundmann		
