poster_session	id	session_ID	title	presenter	authors	affiliations
PS1	PO13	1	A Unified Database For !!Acinetobacter baumannii!!! Genomic And MLST Sequences Enables Comparison Of Pasteur And Oxford 7-gene MLST Nomenclatures	Raffaele Zarrilli	Raffaele Zarrilli_1;Virginie Passet_2; Eliana Pia Esposito_1; Keith A Jolley_3; Sylvain Brisse_2	Department of Public Health, University of Naples “Federico II”, Naples, Italy;Institut Pasteur, Microbial Evolutionary Genomics, Paris, France;Department of Zoology, University of Oxford, Oxford, UK
PS1	PO14	1	PHYLOViZ Online: Web-based Phylogenetic Data Analysis And Visualization For Allelic Profiles And SNP Data	Bruno Ribeiro-Gonçalves	Bruno Ribeiro-Gonçalves_1; Alexandre Francisco_2; Cátia Vaz_3; Mário Ramirez_1; João André Carriço_1	Instituto de Microbiologia, Instituto de Medicina Molecular, Faculdade de Medicina, Universidade de Lisboa, Lisboa, Portugal; Instituto Superior Técnico, Universidade de Lisboa, Lisboa, Portugal; Instituto Superior de Engenharia de Lisboa, Instituto Politécnico de Lisboa, 007 Lisboa, Portugal
PS1	PO15	1	Comparative Analysis Sequencing-based Typing Methods For Epidemiological Study Of !!C. Trachomatis!!!	Zhanna Amirbekova	Zhanna Amirbekova_1; Dmitriy Babenko_1; Anar Turmuhambetova_1	Karaganda State Medical University
PS1	PO16	1	Appraisal Of Complementary Strategies For Refinement Of A Core Genome Multi-locus Sequence Typing Scheme For Typing Of !!Acinetobacter baumannii!!!	Mickael Silva	Mickael Silva_1; João André Carriço_1; Nir Gilad_2; Michal Gordon_2; Mario Ramirez_1; Vered Chalifa-Caspi_2;	Faculdade de Medicina, Instituto de Microbiologia, Instituto de Medicina Molecular, Universidade de Lisboa; Surveillance and Pathogenomics Israeli Centre of Excellence, National Institute for Biotechnology in the Negev, Ben-Gurion University of the Negev
PS1	PO17	1	MLVA For The Genotyping Of !!Acinetobacter baumannii!!!: Towards A Consensus For Interpretation Of Data And The Development Of International Databases	Gilles Vergnaud	Christine Pourcel_1; Yolande Hauck_1; Charles SOLER_2; Gilles Vergnaud_1	University Paris-Saclay; Percy military hospital
PS1	PO18	1	Straintracer-db: A Flexible Analysis And Persistent Storage System For Sequence And Epidemiological Data	Karin Lagesen	Jonas Evensen_1; Sveinung Gundersen_2; Anja B. Kristoffersen_3; Karin Lagesen_4	Department of Informatics, University of Oslo; ELIXIR.NO / Department of Informatics, University of Oslo; Norwegian Veterinary Institute; Norwegian Veterinary Insitute/Department of Informatics, University of Oslo
PS1	PO19	1	MicrobesNG: A Microbial Sequencing Facility Designed To Integrate Myriad Of Sequenced Whole Genomes With Their Samples	Pablo Fuentes Utrilla	Pablo Fuentes Utrilla_1;Emily Richardson_1; Joshua Quick_1; Jennie Law_1; Andrew Smith_1; Ian Henderson1; Roy Chaudhuri_2; Nick Loman_1; Tim Wells_1	University of Birmingham; University of Sheffield
PS1	PO20	1	A Scripting Language For Standardized Evaluation Of Quality Metrics In Galaxy And Command-line Driven Workflows	Damion M. Dooley	Damion M. Dooley_1; Aaron J. Petkau_2; Franklin Bristow_2; Gary Van Domselaar_2; William W.L. Hsiao_3	Department of Pathology, University of British Columbia; National Microbiology Laboratory, Public Health Agency of Canada; 3Department of Pathology, University of British Columbia & BC Public Health Microbiology and Reference Laboratory
PS1	PO21	1	GTFinder Workflow To Detect Exclusively Conserved Region Across A Large Genome Dataset: !!Salmonella!!! Spp. Study	Sabrina Cadel Six	Arnaud Felten_1; Laurent Guillier_1; Fabrice Touzain_2; Michel-Yves Mistou_1; Renaud Lailler_1; Nicolas Radomski_1; Sabrina Cadel Six_1	Université PARIS-EST, Anses, Laboratory for food safety; Anses, Genomic platform
PS1	PO22	1	Most: A Modified MLST Typing Tool Based On Short Read Sequencing	Rediat Tewolde	Rediat Tewolde_1; Tim Dallman_1; Ulf Schaefer_1; Carmen Sheppard_1; Philip Ashton1; Bruno Pichon_1; Craig Swift_1; Jonathan Green_1; Anthony Underwood_1	Public Health England
PS1	PO23	1	The Brucella MLVA Database	Gilles VERGNAUD	Gilles VERGNAUD_1; Yolande HAUCK_1; Christine POURCEL_1; Isabelle JACQUES_2; Axel CLOECKAERT_2; Michel ZYGMUNT_2	University Paris-Saclay; INRA
PS1	PO24	2	Comparative Genomic Analysis Of Two NetF-positive !!Clostridium perfringens!!! Isolates Associated With Foal And Canine Necrotizing Enteritis	Iman Mehdizadeh Gohari	Iman Mehdizadeh Gohari_1; Andrew M. Kropinski_1; Scott J. Weese_1; Valeria R. Parreira_1; Ashley E. Whitehead_2; Patrick Boerlin_1; John F. Prescott_1	Department of Pathobiology, University of Guelph;Department of Veterinary Clinical and Diagnostic Sciences, University of Calgary
PS1	PO25	2	Population Profiling Of !!Enterococcus faecium!!!: A Comparative Study Of Diversity And In-vivo Gene Transfer Events Within The Human Bowel	S. A. Ballard	S. A. Ballard_1; S. Xie_1; A. Mahony_1; A. Buultjens_2; E. A. Grabsch_3; M. L. Grayson_1; T. Seemann_4; B. P. Howden_5; T. Stinear_6; P. D. R. Johnson_1	Department of Infectious Diseases, Austin Health;Department of Microbiology and Immunology, Doherty Institute of Infection and Immunity;Department of Microbiology Austin Health;VLSCI, The University of Melbourne;MDUPHL, Doherty Institute for Infection and Immunity;Department of Microbiology and Immunology, Doherty Institute for Infection and Immunity
PS1	PO26	2	Elucidation Of Transmission Events Of Vancomycin Resistant !!Enterococcus faecium!!! Isolates In Intensive Care Units Of A German Tertiary-care Hospital	Jennifer Bender	Jennifer Bender_1; Carola Fleige_1; Torsten Semmler_1; Sandra Schneider_2; Petra Gastmeier_2; Guido Werner_1	University Medicine Berlin
PS1	PO28	2	Lack Of Genetic Isolation By Distance And Persistence Of Monomorphic Genotypes In Generalist !!Campylobacter jejuni!!! Strains	Mirko Rossi	Mirko Rossi_1; Ji Zhang_1; Ann-Katrin Llarena_1; Minna Vehkala_1; Niko Välimäki_1; Jukka Corander1	University of Helsinki
PS1	PO29	2	Virulence Differences Among Type AI !!Francisella tularensis!!! Strains Linked To Genetic Mutations Found By Whole Genome Sequencing	Caroline Öhrman	Caroline Öhrman_1; Jeannine Petersen_2; Luke Kingry_2; Kiersten Kugeler_2; Claudia Molins_2; Laurel Respicio/Kingry_2; Andreas Sjödin_1; Mats Forsman_1; Dawn Birdsell_3; Paul Keim_3; Dave Wagner_3; Anders Johansson4	Swedish Defence Research Agency (FOI) Centers for Disease Control and Prevention Northern Arizona University (NAU); Umeå University
PS1	PO31	2	Using Whole Genome Sequencing To Understand Host-nontuberculous Mycobacteria Interaction	Sonia Faria	Sonia Faria_1; Vitor Borges_2; Catarina Carneiro_2; Luis Vieira_2; Joao Paulo Gomes_2; Luisa Jordao2	Instituto Nacional de Saúde Dr. Ricardo Jorge/Instituto de Higiene e Medicina Tropical (IHMT/UNL) Instituto Nacional de Saúde Dr. Ricardo Jorge
PS1	PO32	2	Adaptive Evolution Of !!Burkholderia cenocepacia!!! Within The Lungs Of A Chronically Infected Cystic Fibrosis Patient	Sandra C. dos Santos	Sandra C. dos Santos_1; Carla P. Coutinho_1; Marcus Dillon_2; Ana S. Moreira_1; Rita F. Maldonado_1; Vaughn S. Cooper_2; Isabel Sá-Correia1	iBB – Institute for Bioengineering and Biosciences, Department of Bioengineering, Instituto Superior Técnico, Universidade de Lisboa Department of Microbiology and Molecular Genetics, University of Pittsburgh School of Medicine
PS1	PO33	2	Comparative Genomics Of An Endemic Strain Of Multidrug-resistant !!Pseudomonas aeruginosa!!! In A Pediatric Cystic Fibrosis Population	Ruth Ann Luna	Ruth Ann Luna_1; Jennifer K. Spinler_1; Anthony M. Haag_1; Miriam Balderas_1; Prapaporn Boonma_1; Abria R. Magee_1; Peter W. Hiatt_1; James Versalovic1	Baylor College of Medicine/ Texas Children´s Hospital
PS1	PO34	2	Genomic Epidemiology Of The Gaza Community-acquired Methicillin-resistant !!Staphylococcus aureus!!! Clone; A Unique ST22 Clone	Qiuzhi Chang	Qiuzhi Chang_1; Asaf Biber_2; Izzeldin Abualaish_3; Hanaa Jaber_2; Galia Rahav_2; William P Hanage_1; Gili Regev-Yochay2	Harvard School of Public Health Sheba Medical Center Toronto University
PS1	PO35	2	Next Generation Sequencing: The Key To Understood !!Klebsiella pneumoniae!!! Biofilms?	Luisa Jordão	Luisa Jordão_1; Vitor Borges_1; Luis Vieira_1; João Paulo Gomes_1; Aida Duarte_2	Instituto Ricardo Jorge Faculdade de Farmácia ULisboa
PS1	PO36	2	Whole Genome Sequencing Of Clonal Complex 8 MRSA Isolates Shows Several Clusters Of USA300-like Isolates	Mette Damkjær Bartels	Mette Damkjær Bartels_1; Peder Worning_1; Jesper Boye Nielsen_1; Henrik Westh_1	Hvidovre University Hospital
PS1	PO37	2	!!Mycobacterium tilburgii!!!: The First Sequenced Genome	Jan Zoll	Jan Zoll_1; Jakko van Ingen_1; Saskia Kuipers_1; Willem Melchers_1	Radboud University Medical Center
PS1	PO38	3	Description Of A Fatal Outbreak In A Neonatal Intensive Care Unit (NICU) Caused By The Paediatric Clone (st5-IVa) Of MRSA	Nuno Alexandre Faria	Nuno Alexandre Faria_1; Maria Miragaia_1; Edgar Botelho-Moniz_2; M. José Espinar_2; Susana Pissarra_2; Carlos Alves_2; M. Manuela Ribeiro_2; Hermínia de Lencastre3	Instituto de Tecnologia Química e Biológica António Xavier; Centro Hospitalar São João; Laboratory of Microbiology and Infectious Diseases, The Rockefeller University
PS1	PO39	3	Application Of Whole Genome Sequencing To Investigate A Two Year’s !!Pseudomonas aeruginosa!!! Outbreak	Bárbara Magalhães	Bárbara Magalhães_1; Mohamed M. H. Abdelbary_1; Frédéric Tissot_1; Patrick Basset_1; Mette Berger_2; Yok-Ai Que_2; Philippe Eggimann_2; Guy Prod´Hom_3; Gilbert Greub_3; Giorgio Zanetti_1; Laurence Senn_1; Dominique S. Blanc1	Service of Hospital Preventive Medicine, Lausanne University Hospital; Intensive Care Service, Lausanne University Hospital; Institue of Microbiology, Lausanne University Hospital
PS1	PO40	3	Kpc-2 Carbapenemase Producing Enterobacteriacae At A Multi-species Nosocomial Outbreak: Genomic Insights Of A Novel Incn Plasmid And Its Dissemination	Yancheng Yao	Yancheng Yao_1; Can Imirzalioglu_1; Yalda Rezazadeh_1; Konrad Gwozdzinski_1; Linda Falgenhauer_1; Jörg Overmann_2; Boyke Bunk_2; Alexander Goesmann_3; Soeren Gatermann_4; Martin Kaase_4; Torsten Hain_1; Eugen Domann_1; Trinad Chakraborty1	Institute for Medical Microbiology, Justus-Liebig-University Giessen and German Centre for Infection Research (DZIF), partner site Giessen-Marburg-Langen, Compus Giessen, Germany; Leibniz Institute DSMZ- Bioinformatics, German Collection of Microorganisms and Cell Cultures, Braunschweig, and German Center for Infection Research (DZIF), partner site Hannover-Braunschweig, Germany; Bioinformatics Computational Biology, Justus-Liebig-University Giessen and German Centre for Infection Research (DZIF), partner site Giessen-Marburg-Langen, Compus Giessen, Germany; Institute for Hygiene and Medical Microbiology, Ruhr University, Bochum, Germany
PS1	PO41	3	Real-time Whole-genome Sequencing For Investigating A Vancomycin-resistant !!Enterococcus faecium!!! Outbreak At A Tertiary Care Hospital	Mohamed M. H. Abdelbary	Mohamed M. H. Abdelbary_1; Claire Bertelli_2; Gilbert Greub_2; Delphine Hequet_1; Giorgio Zanetti_1; Laurence Senn_1; Dominique S. Blanc1	Service of Hospital Preventive Medicine, Lausanne University Hospital; Institute of Microbiology, Lausanne University Hospital
PS1	PO42	3	Fast Update, Supported On Aso-PCR Based On WGS Of The Prevalence Of A !!Mycobacterium tuberculosis!!! Outbreak-strain 20 Years After Its Emergence	Laura Pérez-Lago	Laura Pérez-Lago_1; Estefanía Abascal_2; Diana Maricela Herrera_2; Iñaki Comas_3; Sofía Samper_4; María Isolina Campos-Herrero_5; Rodolfo Copado_6; Laura Sante_7; Emilio Bouza_1; Darío García de Viedma1	Instituto de Investigación Sanitaria Gregorio Marañón; CIBER Enfermedades Respiratorias, CIBERES; Instituto de Investigación Sanitaria Gregorio Marañón; Genomics and Health Unit, FISABIO Public Health; CIBER Salud Pública CIBERESP; Instituto de Investigación Sanitaria Aragón;Hospital Universitario Miguel Servet; CIBER Enfermedades Respiratorias, CIBERES; Hospital Universitario de Gran Canaria Dr. Negrín; Hospital Dr. José Molina Orosa; Hospital Universitario de Canarias
PS1	PO43	3	Microevolution And Persistence Of !!Listeria monocytogenes!!! In The Environment And Links To A Foodborne Outbreak	Vítor Borges	Vítor Borges_1; Carla Maia_1; Maria João Barreira_1; Leonor Silveira_1; Catarina Silva_1; Silvia Duarte_1; Luis Vieira_1; Luis Lito_2; Mónica Oleastro_1; João Paulo Gomes_1	National Institute of Health, Portugal; Laboratory of Microbiology, Department of Clinical Pathology, Centro Hospitalar de Lisboa Norte
PS1	PO44	3	Tracing Of Influenza A H3N2 Outbreaks In Two Nursing Homes And A Hospital In Bavaria By Whole Genome Sequencing Within The Bavarian Influenza Sentinel	Dominik Meinel	Dominik Meinel_1; Susanne Heinzinger_2; Ute Eberle_2; Helmut Blum_3; Katharina Schönberger_2; Andreas Sing_2	Unispital Basel; Bavarian Health and Food Safety Authority; Gene Center
PS1	PO45	3	Large-scale Survey Of !!Bacillus cereus!!!-induced Food-borne Outbreaks: Epidemiological Data And Genetic Diversity	Benjamin GLASSET	Benjamin GLASSET_1; Anne BRISABOIS_1; Sabine HERBIN_1; Jacques-antoine HENNEKINNE_1; Nalini RAMARAO_2	ANSES; INRA
PS1	PO46	4	Clonal Dynamics Of Diverse !!Salmonella enterica!!! Serotypes From Traded Food Products In Portugal	Joana Campos	Joana Campos_1; Joana Mourão_1; Leonor Silveira_2; Jorge Machado_2; Carla Novais_1; Luísa Peixe_1; Patrícia Antunes_3	UCIBIO/REQUIMTE. Laboratório de Microbiologia, Faculdade de Farmácia, Universidade do Porto; Departamento de Doenças Infeciosas, Instituto Nacional de Saúde Dr. Ricardo Jorge, Lisboa; UCIBIO/REQUIMTE. Laboratório de Microbiologia, Faculdade de Farmácia, Universidade do Porto; Faculdade de Ciências da Nutrição e Alimentação, Universidade do Porto
PS1	PO47	4	Antibiotic Resistance And Molecular Characterization Of !!Staphylococcus pseudintermedius!!! Strains Isolated From Companion Animals In Russia	A. Balbutskaya	A. Balbutskaya_1; O. Dmitrenko_2; V. Skvortsov_1	Belgorod department of «All-Russian scientific research institute of experimental veterinary medicine named after Ya.R.Kovalenko»; Federal State Institution «N.F. Gamaleya Federal Scientific Center of Epidemiology and Microbiology» Ministry of Health RF
PS1	PO48	4	Isolation Of !!Arcobacter!!! Spp. Quinolone Resistant From Fresh Vegetables	Isidro Favian Bayas Morejón	Isidro Favian Bayas Morejón_1; Ana González Pellicer_1; María Antonia Ferrús Pérez_2	Universitat Politècnica de València; mferrus@btc.upv.es
PS1	PO49	4	Study Of Population Diversity Of !!Toxoplasma gondii!!! Human Strains In Portugal	Anabela Vilares	Anabela Vilares_1; Idalina Ferreira_1; Susana Martins_1; Maria João Gargaté_1	National Institute of Health Dr Ricardo Jorge, Department of Infectious Diseases, Reference Unit for Parasitic and Fungal Infections
PS1	PO50	4	Identification Of Potential Amplicon Sequencing Targets For Identification And Strain-level Characterization Of Shiga Toxin-producing !!Escherichia coli!!!	Lori Michelle Gladney	Lori Michelle Gladney_1; Daniel Fasulo_2; Alexandra Mercante_1; Lisley Garcia-Toledo_1; Rebecca Lindsey_1; Eija Trees_1; Nancy Strockbine_1; Efrain Ribot_1; Heather Carleton_1; John Besser_1	Centers for Disease Control and Prevention; Pattern Genomics
PS1	PO51	5	Evaluation Of A Core Genome MLST Scheme For Typing Of Vancomycin-resistant Enterococci Using Pulsed-field Gel Electrophoresis As The Reference Method	Meyke Gillis	Meyke Gillis_1; Johanna Tien_1; Danuta Stefanik_1; Bozica Licanin_1; Daniela Tacke_2; Maria J.G.T. Vehreschild_3; Paul G. Higgins_1; Harald Seifert_1	Institute for Medical Microbiology, Immunology and Hygiene, University of Cologne; Department of Anesthesiology and Intensive Care Medicine, University Hospital of Cologne; Department I for Internal Medicine, University Hospital of Cologne
PS1	PO52	5	Real-time Identification Of Carbapenem-resistant !!Klebsiella pneumoniae!!! Outbreak Isolates By Fourier Transform Infrared (FTIR) Spectroscopy	Liliana Silva	Liliana Silva_1; Carla Rodrigues_2; Clara Sousa_3; Agostinho Lira_4; Mariana Leão_4; Margarida Mota_4; Paulo Lopes_4; Angelina Lameirão_4; Gabriela Abreu_4; João Lopes_5; Ângela Novais_2; Luísa Peixe_6	UCIBIO@REQUIMTE, Laboratório de Microbiologia, Faculdade de Farmácia, Universidade do Porto, Porto, Portugal; ESALD, Instituto Politécnico de Castelo Branco, Castelo Branco, Portugal; UCIBIO@REQUIMTE, Laboratório de Microbiologia, Faculdade de Farmácia, Universidade do Porto, Porto, Portugal.; CEB-Centro de Engenharia Biológica, Universidade do Minho, Braga, Portugal.; CHVNG/E, Serviço de Patologia Clínica, Centro Hospitalar de Vila Nova de Gaia/Espinho, Vila Nova de Gaia, Portugal; iMed, Departamento de Farmácia Galénica e Tecnologia Farmacêutica, Faculdade de Farmácia, Universidade de Lisboa, Lisboa, Portugal.; UCIBIO@REQUIMTE, Laboratório de Microbiologia, Faculdade de Farmácia, Universidade do Porto, Porto, Portugal
PS1	PO53	5	New MLVA Schemes For !!Streptococcus pyogenes!!! And !!Streptococcus anginosus!!! Typing	Katarzyna Obszańska	Katarzyna Obszańska_1; Izabella Kern-Zdanowicz_1; Izabela Sitkiewicz_2	Institute of Biochemistry and Biophysics, Polish Academy of Sciences; National Medicines Institute
PS1	PO54	5	Use Of An Early Access MinION To Determine The Context Of Resistance Genes In !!Escherichia coli!!! And !!Acinetobacter baumannii!!!	Jane Turton	Jane Turton_1; Claire Perry_1; Katie Hopkins_1; Neil Woodford_1	Public Health England
PS1	PO55	5	Metabolic Profiles Of ST131 !!Escherichia coli!!! Subclones Depicted By Fourier-transform Infrared Spectroscopy Unveil Variability Among The H30 Subclone	Angela Novais	Angela Novais_1; Carla Rodrigues_1; Clara Sousa_2; Ana Constança Mendes_3; João A Lopes_4; Teresa M Coque_5; Luísa Peixe_1	REQUIMTE@UCIBIO. Faculdade de Farmácia da Universidade do Porto; Center of Biological Engineering, University of Minho; REQUIMTE@UCIBIO. Faculdade de Farmácia da Universidade do Porto; Serviço de Microbiologia, Centro Hospitalar do Porto; iMed, Departamento de Farmácia Galénica e Tecnologia Farmacêutica, Faculdade de Farmácia, Universidade de Lisboa; Departamento de Microbiología, Hospital Universitario Ramón y Cajal, Instituto Ramón y Cajal de Investigación Sanitaria (IRYCIS)
PS1	PO56	5	Recovering Full-length Human Papillomavirus Genomes From Cervical Swab Samples Using Benchtop Next Generation Sequencing	Joël Mossong	Joël Mossong_1; Jessica Tapp_1; Ardashel Latsuzbaia_1; Steven Weyers_2; Marc Arbyn_3; Trung Nguyen_1; Marc Fischer_1; Dag Harmsen_4; Catherine Ragimbeau_1	Laboratoire National de Santé; Ghent University Hospital; Scientific Institute of Public Health; University Münster
PS1	PO58	5	Innuendo: A Cross-sectorial Platform For The Integration Of Genomics In Surveillance Of Food-borne Pathogens	Mirko Rossi	Mirko Rossi_1; João Carriço_2; Javier Garaizar_3; Friederike Hilbert_4; Saara Salmenlinna_5; Marjaana Hakkinen_6; Monica Oleastro_7; Mihkel Mäesaar_8; Aivars Bërziņš_9; INNUENDO consortium_10	University of Helsinki; Univeristy of Lisbon; Universidad del Pais Vasco/Euskal Herriko Unibertsitatea; University of Veterinary Medicine, Vienna; National Institute for Health and Welfare; Finnish Food Safety Authority; Instituto Nacional de Saúde Dr. Ricardo Jorge; Veterinary and Food Laboratory; Pārtikas drošības, dzīvnieku veselības un vides zinātniskais institūts; na
PS1	PO59	5	Comparison Of Typing Methods For Hospital-associated !!Acinetobacter baumannii!!! Clones Isolated In Greece And India	Basil Britto Xavier	Basil Britto Xavier_1; Jasmine Coppens_1; Lavanya Vanjari_2; Konstantina Dafopoulou_3; Julia Sabirova_1; Christine Lammens_1; Olympia Zarkotou_4; Trevor Wagner_5; Athanassios Tsakris_3; Spyros Pournaras_6; Herman Goossens_1; Surbhi Malhotra-Kumar_1	University of Antwerp; National Institute of Tuberculosis,; Department of Microbiology, University of Athens,; Department of Microbiology, Tzaneio General Hospital,; OpGen, Inc.,; Department of Microbiology, Medical School, National and Kapodistrian University of Athens
PS1	PO61	5	Development And Evaluation Of Double Locus Sequence Typing For Molecular Epidemiological Investigations Of !!Clostridium difficile!!!	Miloš Stojanov	Miloš Stojanov_1; Bàrbara Magalhaes_2; Valery Terletsky_1; Patrick Basset_1; Guy Prod´hom_1; Gilbert Greub_1; Laurence Senn_1; Dominique Blanc_1	Lausanne University Hospital; Valery Terletsky
PS1	PO62	5	Mass Spectrometry Proteotyping For Detection, Identification Characterization And Diagnostics Of Infectious Bacteria In Clinical Respiratory Samples	Lucia Gonzales Siles	Lucia Gonzales Siles_1; Roger Karlsson_1; Chantal van Houten_2; Louis Bont_2; Fredrik Boulund_3; Erik Kristiansson_3; Edward Moore_1	University of Gothenburg; University Medical Center Utrecht; Chalmers University
PS1	PO63	5	Comparison Of MLST, rMLST And wgMLST As Global Typing Schemes For !!S. Enterica!!!	Madison Pearce	Madison Pearce_1; Martin Maiden_2; Kathie Grant_3; James Bray_2; Keith Jolley_2; Claire Jenkins_3; Tim Dallman_3; Philip Ashton_3	University of Oxford/Public Health England/ NIHR HPRU; University of Oxford; Public Health England
PS1	PO64	5	On The Road Of Transition – From PFGE To NGS Based Strain Typing	Elke Brockmann	Elke Brockmann_1; Jacob Bælum_1; Mads Bennedsen_1; Annette Møller_1; Birgitte Stuer-Lauridsen_1; Martin Abel-Kilstrup_1; Anette Wind_1	Chr. Hansen A/S
PS1	PO65	5	Whole Genome Sequencing Of Fecal Samples As A Tool For The Diagnosis And Genetic Characterization Of Norovirus	Herjan Bavelaar	Herjan Bavelaar_1; Janette Rahamat-Langendoen_1; Hubert G.M. Niesters_2; Jan Zoll_1; Willem J.G. Melchers_1	Department of Medical Microbiology, Radboud University Medical Center, Nijmegen, The Netherlands; Department of Medical Microbiology, Division of Clinical Virology, University Medical Center Groningen, Groningen, The Netherlands
PS1	PO66	5	Plasmablasts After Antigen Challenge - A Diagnostic Tool For Assessing Response To Influenza Vaccination In Patients With Chronic Lymphocytic Leukemia	Ewelina Grywalska	Ewelina Grywalska_1	Medical University of Lublin
PS1	PO67	5	Discrimination Of Vancomycin-resistant !!Enterococcus faecium!!! Clones By MLST (eBURST/BAPS) And Spectroscopic Techniques (MALDI-TOF MS And FTIR-ATR)	Ana R. Freitas	Ana R. Freitas_1; Clara Sousa_2; Jan Bavlovič_3; Liliana Silva_4; Carla Novais_1; Teresa M. Coque_5; João Lopes_6; Luísa Peixe_1	UCIBIO/REQUIMTE. Departamento de Ciências Biológicas. Laboratório de Microbiologia. Faculdade de Farmácia. Universidade do Porto.; CEB-Centro de Engenharia Biológica, Universidade do Minho.; Faculty of Pharmacy in Hradec Králové, Charles University, Prague and Faculty of Military Health Sciences, University of Defence, Brno, Czech Republic; UCIBIO/REQUIMTE. Departamento de Ciências Biológicas. Laboratório de Microbiologia. Faculdade de Farmácia. Universidade do Porto; ESALD, Instituto Politécnico de Castelo Branco; Servicio de Microbiologia. Hospital Ramón y Cajal. Instituto Ramón y Cajal de Investigación Sanitaria (IRYCIS); iMed, Departamento de Farmácia Galénica e Tecnologia Farmacêutica, Faculdade de Farmácia, Universidade de Lisboa
